src,tgt
The latter withdrew back to Hyderabad and eventually negotiated a new treaty with the British company in 1768.,পিছৰজনে হায়দৰাবাদলৈ উভতি আহিছিল আৰু অৱশেষত ১৭৬৮ চনত ব্ৰিটিছ কোম্পানীৰ সৈতে এক নতুন চুক্তি স্বাক্ষৰ কৰিছিল।
"His onscreen pairing with actresses Mala Sinha, Vyjayanthimala, Nutan, Madhubala, Meena Kumari and Kumkum gave the biggest hits in his career.","অভিনেত্ৰী মালা সিন্‌হা, বৈজয়ন্তীমালা, নূতন, মধুবালা, মীনা কুমাৰী আৰু কুমকুমৰ লগত তেওঁৰ ৰূপালী পৰ্দাৰ যুগলবন্দীয়ে তেওঁৰ কর্মজীৱনৰ আটাইতকৈ ডাঙৰ হিটসমূহ প্রদান কৰিছিল।"
"After the Lahore session of the Congress in 1929, Nehru gradually emerged as the paramount leader of the Indian independence movement.",১৯২৯ চনত কংগ্ৰেছৰ লাহোৰ অধিবেশনৰ পাছত নেহৰুৱে ক্ৰমান্বয়ে ভাৰতীয় স্বাধীনতা আন্দোলনৰ শীৰ্ষতম নেতা হিচাপে আত্মপ্ৰকাশ কৰিছিল।
Nehru and most of the Congress leaders were ambivalent initially about Gandhi's plan to begin civil disobedience with a satyagraha aimed at the British salt tax.,প্ৰথম অৱস্থাত ব্ৰিটিছ লোণ কৰ সন্দৰ্ভত সত্যাগ্ৰহৰ জৰিয়তে আইন অমান্য আৰম্ভ কৰাৰ পৰিকল্পনাৰ বিষয়ে নেহৰু আৰু অধিকাংশ কংগ্ৰেছ নেতা দোধোৰ-মোধোৰ অৱস্থাত আছিল।
"Although Gandhi did not explicitly designate Nehru as his political heir until 1942, as early as the mid-1930s, the country saw Nehru as the natural successor to Gandhi.","যদিও গান্ধীয়ে ১৯৪২ চনলৈকে নেহৰুক স্পষ্টভাৱে তেওঁৰ ৰাজনৈতিক উত্তৰাধিকাৰী হিচাপে মনোনীত কৰা নাছিল, ১৯৩০ চনৰ মাজভাগলৈকে দেশখনে নেহৰুক গান্ধীৰ স্বাভাৱিক উত্তৰাধিকাৰী হিচাপে মানি লৈছিল।"
"Indian, British, and world opinion increasingly recognised the legitimacy of the claims by the Congress party for independence.","ভাৰতীয়, ব্ৰিটিছ আৰু বিশ্ব মতবাদে স্বাধীনতা সন্দৰ্ভত কংগ্ৰেছ দলৰ দাবীৰ বৈধতাক ক্ৰমান্বয়ে স্বীকৃতি দিছিল।"
The Congress asked the people of India to observe 26January as Independence Day.,কংগ্ৰেছে ভাৰতবাসীক ২৬ জানুৱাৰীৰ দিনটো স্বাধীনতা দিৱস হিচাপে পালন কৰিবলৈ আহ্বান জনাইছিল।
"Earlier, after addressing a huge meeting and leading a vast procession, he had ceremoniously manufactured some contraband salt.",ইয়াৰ পূৰ্বে এখন বিশাল সভাত ভাষণ দিয়াৰ পাছত আৰু এক বিশাল শোভাযাত্ৰাৰ নেতৃত্ব দিয়াৰ পাছত তেওঁ আনুষ্ঠানিকভাৱে কিছু পৰিমাণৰ নিষিদ্ধ নিমখ উৎপাদন কৰিছিল।
"To unify the vast Mughal state, Akbar established a centralised system of administration throughout his empire and adopted a policy of conciliating conquered rulers through marriage and diplomacy.",বিশাল মোগল ৰাজ্যক একত্ৰিত কৰিবলৈ আকবৰে তেওঁৰ সমগ্ৰ সাম্ৰাজ্যত এক কেন্দ্ৰীয় প্ৰশাসন ব্যৱস্থা প্ৰতিষ্ঠা কৰিছিল আৰু বিবাহ আৰু কূটনীতিৰ জৰিয়তে বিজয়ী শাসকসকলৰ সৈতে মিত্রতা স্থাপন কৰাৰ নীতি গ্ৰহণ কৰিছিল।
"To preserve peace and order in a religiously and culturally diverse empire, he adopted policies that won him the support of his non-Muslim subjects.",ধৰ্মীয় আৰু সাংস্কৃতিকভাৱে বৈচিত্ৰ্যপূৰ্ণ এখন সাম্ৰাজ্যত শান্তি-শৃংখলা বজাই ৰাখিবলৈ তেওঁ এনে কিছুমান নীতি গ্ৰহণ কৰিছিল যিবোৰে তেওঁক অমুছলমান প্ৰজাৰ সমৰ্থন লাভ কৰাত সহায় কৰিছিল।
"Though Nehru never joined the group, he acted as a bridge between them and Gandhi.","যদিও নেহৰুৱে কেতিয়াও দলটোত যোগদান কৰা নাছিল, তেওঁ তেওঁলোকৰ আৰু গান্ধীৰ মাজত এক সেতু হিচাপে কাম কৰিছিল।"
"Bachchan embraces the character's many idiosyncrasies, never once slipping into caricature while all along delivering big laughs, thanks to his spot-on comic timing.","বচ্চনে চৰিত্রটোৰ বহুতো স্বকীয়তাক অকোঁৱালি লৈছিল, আৰু তেওঁৰ নিখুঁত হাস্যৰসৰ বাবে তেওঁ কেতিয়াও, এবাৰৰ কাৰণেও অতিৰঞ্জিত নকৰাকৈ হাঁহিৰ যোগান ধৰি আছিল-তেওঁৰ নিৰ্ভুল হাস্যৰসৰ টাইমিঙৰ বাবে ধন্যবাদ৷"
"He bickers with the maids, harrows his hapless helper, and expects that Piku stay unmarried so she can attend to him.","তেওঁ দাসীসকলৰ লগত কাজিয়া কৰে, তেওঁৰ দুৰ্ভগীয়া সহায়কক দিগদাৰি দিয়ে, আৰু আশা কৰে যে পিকু অবিবাহিত হৈ থাকক যাতে তাই তেওঁক চোৱা-চিতা কৰিব পাৰে।"
"One of Hindal's jagir was given to his nephew, Akbar, who was appointed as its viceroy and was also given the command of his uncle's army.","হিন্দলৰ এটা জাগিৰ তেওঁৰ ভতিজা আকবৰক দিয়া হৈছিল, যিজনক ইয়াৰ শাসনকৰ্ত্তা হিচাপে নিযুক্তি দিয়া হৈছিল আৰু তেওঁক তেওঁৰ খুৰাকৰ সৈন্যবাহিনীৰ দায়িত্বও দিয়া হৈছিল।"
"About the time of nine-year-old Akbar's first appointment, as governor of Ghazni, he married Hindal's daughter, Ruqaiya Sultan Begum.",ন বছৰীয়া আকবৰক গজনীৰ ৰাজ্যপাল হিচাপে প্ৰথম নিযুক্তি দিয়াৰ সময়ত তেওঁ হিন্দালৰ জীয়ৰী ৰুকাইয়া চুলতান বেগমক বিয়া কৰাইছিল।
"This, however, did not hinder his search for knowledge as it is always said when he retired in the evening he would have someone read.","অৱশ্যে, এইটোৱে তেওঁৰ জ্ঞানৰ সন্ধানত বাধা দিয়া নাছিল কিয়নো সদায়ে কোৱা হয় যে তেওঁ সন্ধিয়া অৱসৰ লোৱাৰ সময়ত তেওঁ কাৰোবাক পঢ়োৱাইছিল।"
"Jinnah's statements that the Muslim League was the third and ""equal partner"" within Indian politics were widely rejected.","মুছলিম লীগ ভাৰতীয় ৰাজনীতিৰ তৃতীয় আৰু ""সমান অংশীদাৰ"" বুলি জিন্নাই কৰা মন্তব্য ব্যাপকভাৱে প্ৰত্যাখ্যান কৰা হৈছিল।"
He created a powerful military system and instituted effective political and social reforms.,তেওঁ এক শক্তিশালী সামৰিক ব্যৱস্থাৰ সৃষ্টি কৰিছিল আৰু কাৰ্যকৰী ৰাজনৈতিক আৰু সামাজিক সংস্কাৰ সাধন কৰিছিল।
Akbar's reign significantly influenced the course of Indian history.,আকবৰৰ ৰাজত্বকালৰ সময়চোৱাই ভাৰতীয় ইতিহাসক যথেষ্ট প্ৰভাৱিত কৰিছিল।
